,player_name,birth_year,birthplace,popularity
372,Danny Granger,1983,New Orleans,30
373,Sergei Monia,1983,Saratov,29
374,Jerry Stackhouse,1974,Kinston,25
375,Jens-Uwe Gordon,1967,Salinas,7
376,Danny Biasone,1909,Miglianico,5
377,Željko Jerkov,1953,Pula,16
378,Pablo García,1946,Las Villas,6
379,İzzet Türkyılmaz,1990,Burhaniye,10
380,Adam Chubb,1981,Harrisburg,8
381,Apostolos Nikolaidis,1896,Plovdiv,11
382,Ramūnas Šiškauskas,1978,Kaišiadorys,30
383,Alejandro Ortiz,1952,Cuba,6
384,Mo Williams,1982,Jackson,28
385,Miljan Pavković,1981,Zaječar,7
386,Marcus Taylor,1981,Lansing,8
387,Boris Diaw,1982,Cormeilles-en-Parisis,35
388,Arne Duncan,1964,Chicago,30
389,Shareef Abdur-Rahim,1976,Marietta,32
390,Denny Crum,1937,San Fernando,9
391,Adam Kowalski,1912,Ivano-Frankivsk,11
392,Oscar Varona Varona,1949,Cuba,12
393,Pat Riley,1945,Rome,34
394,Vukašin Aleksić,1985,Belgrade,8
395,Nicolas Batum,1988,Lisieux,35
396,Arvydas Sabonis,1964,Kaunas,50
397,Phil Jackson,1945,Deer Lodge,43
398,Dejan Bodiroga,1973,Zrenjanin,34
399,Linas Kleiza,1985,Kaunas,30
400,Jerry West,1938,Chelyan,48
401,Tyson Chandler,1982,Hanford,36
402,Kevin Love,1988,Santa Monica,42
403,Michael Redd,1979,Columbus,34
404,Jameer Nelson,1982,Chester,30
405,Ben Wallace,1974,White Hall,38
406,Andrea Bargnani,1985,Rome,34
407,Aaron Gray,1984,Tarzana,16
408,Anthony Davis,1993,Chicago,44
409,Dominique Wilkins,1960,Paris,38
410,Stanisław Olejniczak,1938,Gmina Zbąszyń,8
411,Ann Strother,1983,Castle Rock,10
412,Rimas Kurtinaitis,1960,Kaunas,30
413,Ersan İlyasova,1987,Eskişehir,36
414,Joakim Noah,1985,New York City,39
415,Viktor Khryapa,1982,Kyiv,30
416,Booker Woodfox,1986,Lewisville,6
417,Marjorie Carpréaux,1987,Boussu,9
418,Chris Engler,1959,San Diego,7
419,Josep Franch,1991,Badalona,11
420,Dikembe Mutombo,1966,Kinshasa,43
421,Mark Blount,1975,Yonkers,15
422,Miloš Teodosić,1987,Valjevo,39
423,Renee Montgomery,1986,St. Albans,13
424,Jeremy Lin,1988,Los Angeles,42
425,Jermaine O'Neal,1978,Columbia,33
426,Blake Griffin,1989,Oklahoma,43
427,Hidayet Türkoğlu,1979,Bayrampaşa,43
428,Baron Davis,1979,Compton,32
429,Serge Ibaka,1989,Brazzaville,41
430,Chris Mullin,1963,Brooklyn,38
431,Thodoris Papaloukas,1977,Athens,29
432,Earl Boykins,1976,Cleveland,31
433,Solomon Jones,1984,Eustis,12
434,DeLisha Milton-Jones,1974,Riceboro,20
435,LaMarcus Aldridge,1985,Dallas,36
436,Elton Brand,1979,Cortlandt Manor,35
437,Deron Williams,1984,Parkersburg,38
438,Mehmet Okur,1979,Yalova,31
439,Jordan Farmar,1986,Los Angeles,29
440,Nadezhda Shuvayeva-Olkhova,1952,Barnaul,13
441,Brandon Roy,1984,Seattle,33
442,Kwame Brown,1982,Chicago,27
443,Bob Cousy,1928,Manhattan,43
444,José Calderón,1981,Villanueva de la Serena,38
445,Tina Charles,1988,Jamaica,26
446,Pete Maravich,1947,Aliquippa,36
447,Manute Bol,1962,Turalei,35
448,Edi Rama,1964,Tirana,77
449,Juan Carlos Navarro,1980,Sant Feliu de Llobregat,39
450,Greg Oden,1988,Buffalo,34
451,Brandon Jennings,1989,Compton,29
452,Robert Parish,1953,Shreveport,36
453,Richard Hamilton,1978,Coatesville,33
454,Alonzo Mourning,1970,Chesapeake,35
455,Gary Payton,1968,Oakland,38
456,Gilbert Arenas,1982,Tampa,40
457,Andrew Bynum,1987,Middlesex County,30
458,Tayshaun Prince,1980,Compton,38
459,Carlos Boozer,1981,Aschaffenburg,36
460,Metta Sandiford-Artest,1979,Queens,42
461,Ruben Douglas,1979,Pasadena,9
462,Maria Stepanova,1979,Mikhaylovsk,23
463,Abby Bishop,1988,Booleroo Centre,20
464,George Mikan,1924,Joliet,36
465,Moses Malone,1955,Petersburg,44
466,Chris Webber,1973,Detroit,34
467,Andrew Bogut,1984,Melbourne,36
468,Grant Hill,1972,Dallas,36
469,Luis Scola,1980,Buenos Aires,33
470,Lamar Odom,1979,Jamaica,39
471,Nate Robinson,1984,Seattle,32
472,Keyon Dooling,1980,Fort Lauderdale,15
473,Andrei Kirilenko,1981,Izhevsk,44
474,Aaron Brooks,1985,Seattle,24
475,Ömer Aşık,1986,Bursa,34
476,Jason Terry,1977,Seattle,30
477,Šarūnas Jasikevičius,1976,Kaunas,34
478,Angel McCoughtry,1986,Baltimore,23
479,Emeka Okafor,1982,Houston,33
480,Mike Bibby,1978,Cherry Hill,33
481,Darko Miličić,1985,Novi Sad,35
482,Isiah Thomas,1961,Chicago,43
483,Jorge Garbajosa,1977,Torrejón de Ardoz,33
484,Nikki Blue,1984,Bakersfield,7
485,Nenad Krstić,1983,Kraljevo,26
486,Lenny Wilkens,1937,Brooklyn,33
487,Kirk Hinrich,1981,Sioux City,29
488,Derek Fisher,1974,Little Rock,28
489,Clyde Drexler,1962,New Orleans,39
490,László Rátgéber,1966,Novi Sad,6
491,Shawn Marion,1978,Waukegan,37
492,Bruce Bowen,1971,Merced,22
493,Chauncey Billups,1976,Denver,42
494,Rudy Fernández,1985,Palma de Mallorca,35
495,Jens Kujawa,1965,Brunswick,8
496,Marko Pešić,1976,Sarajevo,10
497,Thorsten Leibenath,1975,Leverkusen,6
498,Chris Welp,1964,Delmenhorst,14
499,Chris Kaman,1982,Grand Rapids,32
500,Johannes Herber,1983,Darmstadt,8
501,Drazan Tomic,1974,Berlin,7
502,Demond Greene,1979,Fort Cavazos,16
503,Michael Meeks,1972,Kingston,7
504,Granger Hall,1962,Newark,7
505,Gerrit Terdenge,1975,Gelsenkirchen,5
506,Denis Wucherer,1973,Mainz,9
507,Henrik Rödl,1969,Offenbach am Main,13
508,Bernard Hopkins,1973,Baltimore,10
509,Mousa Nabipour,1983,Behshahr,9
510,Misan Haldin,1982,Berlin,11
511,Vladimir Bogojevič,1976,Kraljevo,6
512,Elias Harris,1989,Speyer,10
513,Teoman Öztürk,1967,Berlin,6
514,Charlie Ward,1970,Thomasville,13
515,Pascal Roller,1976,Heidelberg,11
516,Lutz Wadehn,1961,Bremerhaven,5
517,Tim Nees,1971,Darmstadt,7
518,Stephan Baeck,1965,Cologne,7
519,Jochen Pollex,1947,Wismar,6
520,Tim Ohlbrecht,1988,Wuppertal,11
521,Stipo Papic,1978,Berlin,7
522,Sven Schultze,1978,Bamberg,11
523,Klaus Weinand,1940,Koblenz,6
524,Klaus Zander,1956,Cologne,7
525,Terrance Woodbury,1987,Norfolk,7
526,Jürgen Wohlers,1945,Wolfenbüttel,6
527,Chris Heinrich,1977,Philadelphia,6
528,Maik Zirbes,1990,Traben-Trarbach,14
529,Stephen Arigbabu,1972,Hanover,9
530,Robin Benzing,1989,Seeheim-Jugenheim,20
531,Jörg Lütcke,1975,Stuttgart,7
532,Philip Zwiener,1985,Rotenburg an der Wümme,10
533,Helmut Uhlig,1942,Halle (Saale),6
534,Stephanie Storp,1968,Brunswick,13
535,Philipp Schwethelm,1989,Engelskirchen,9
536,Michael Koch,1966,Lich,9
537,Holger Geschwindner,1945,Bad Nauheim,8
538,James Augustine,1984,Midlothian,17
539,Kai Nürnberger,1966,Wolfenbüttel,7
540,Enrique Villalobos,1965,Madrid,6
541,Robert Maras,1978,Freiburg im Breisgau,11
542,Guido Grünheid,1982,Jena,7
543,Maurice Stuckey,1990,Augsburg,6
544,Steffen Hamann,1981,Rattelsdorf,16
545,Vladimír Kadlec,1957,Prague,7
546,John Havlicek,1940,Martins Ferry,42
547,Frido Frey,1921,Germany,8
548,Klaus Perwas,1971,Osnabrück,5
549,Robert Garrett,1977,Ochsenfurt,10
550,Konrad Wysocki,1982,Rzeszów,11
551,Ademola Okulaja,1975,Lagos,14
552,Sascha Hupmann,1970,Munich,7
553,Helga Nowitzki,1940,,5
554,Richard Fröhlich,1986,Oldendorf,6
555,Marvin Willoughby,1978,Hamburg,6
556,Vitor Faverani,1988,Porto Alegre,12
557,Christopher McNaughton,1982,Leutershausen,9
558,Sebastian Machowski,1972,Berlin,7
559,Matthias Strauss,1956,Frankfurt,6
560,Stacey King,1967,Lawton,15
561,Casey Mitchell,1988,Savannah,5
562,Bobby Brown,1984,Los Angeles,16
563,Neno Ašćerić,1965,Šašinci,7
564,Vlade Divac,1968,Prijepolje,46
565,Hansi Gnad,1963,Darmstadt,10
566,Mithat Demirel,1978,Berlin,10
567,Norbert Thimm,1949,Dortmund,7
568,Dwight Buycks,1989,Milwaukee,12
569,Žydrūnas Ilgauskas,1975,Kaunas,35
570,Henning Harnisch,1968,Marburg,10
571,Uwe Blab,1962,Munich,12
572,Philipp Neumann,1992,Cologne,7
573,Gunther Behnke,1963,Leverkusen,10
574,Hurl Beechum,1973,Des Moines,9
575,Stefano Garris,1979,Paderborn,8
576,Chuck Evans,1971,Atlanta,7
577,Karsten Tadda,1988,Bamberg,11
578,Ingo Freyer,1971,Wedel,5
579,Lance Berwald,1961,Minneapolis,6
580,Alexander Kühl,1973,Rendsburg,9
581,Willi Daume,1913,Hückeswagen,7
582,Lucca Staiger,1988,Blaustein,15
583,Alana Beard,1982,Shreveport,16
