,university_name,founding_year,city,popularity
445,Donetsk National University of Economics and Trade,1920.0,,5
446,International Atatürk-Alatoo University,1996.0,,8
447,Nepal Sanskrit University,1986.0,,7
448,Kabul Medical University,1932.0,,7
449,Free Polish University,1918.0,,6
450,Tôn Đức Thắng University,1997.0,,6
451,Bryn Mawr College,1885.0,,27
452,Budapest Business University,1857.0,,9
453,University of Tokyo,1877.0,,79
454,Quang Binh University,2006.0,,6
455,Moscow State Institute of Culture,1930.0,,9
456,Moscow State University of Instrument Engineering and Computer Science,1936.0,,5
457,Kharkiv State University of Food Technology and Trade,1967.0,,7
458,Kun Shan University,1965.0,,5
459,University of Salford,1896.0,,19
460,University of Tuzla,1976.0,,13
461,Adana Science and Technology University,2011.0,,5
462,Académie Louvain,2004.0,,5
463,Academy of Art University,1929.0,,9
464,Baker University,1858.0,,10
465,Hebrew University of Jerusalem,1918.0,,86
466,Universidad Central de Chile,1982.0,,14
467,"University of California, Davis",1905.0,,42
468,Seinan Gakuin University,2006.0,,7
469,Russian-Armenian University,1997.0,,12
470,National Pedagogic University,1978.0,,5
471,Shiraz University of Arts,2010.0,,6
472,National Academy of Physical Education and Sport,1922.0,,5
473,University of Sulaymaniyah,1968.0,,12
474,Chanakya National Law University,2006.0,,5
475,Obninsk Institute for Nuclear Power Engineering,1953.0,,8
476,Visva-Bharati University,1921.0,,26
477,Azerbaijan International University,1997.0,,5
478,Azerbaijan University,1991.0,,8
479,Creighton University,1878.0,,16
480,Politehnica University of Bucharest,1864.0,,20
481,Nukus State Pedagogical Institute,,,5
482,Odesa National Medical University,1900.0,,7
483,Xinjiang University,1924.0,,12
484,"University of Eastern Africa, Baraton",1978.0,,5
485,Moscow State Institute of International Relations,1944.0,,45
486,Universidad Andina Simón Bolívar,1985.0,,5
487,University of Colima,1940.0,,7
488,Dohuk Polytechnic University,2012.0,,5
489,Konan University,1919.0,,8
490,International Balkan University,2006.0,,6
491,Lincoln University,1919.0,,5
492,Comrat State University,1991.0,,15
493,University of Palestine,2003.0,,10
494,Plovdiv Medical University,1945.0,,10
495,University of Texas Permian Basin,1973.0,,6
496,Rose–Hulman Institute of Technology,1874.0,,7
497,Nanzan University,1949.0,,10
498,University of Bihać,1997.0,,10
499,Illinois State University,1857.0,,21
500,University of Patras,1964.0,,16
501,University of Cape Verde,2006.0,,8
502,Protestant Theological University,1854.0,,5
503,Obafemi Awolowo University,1962.0,,8
504,University of Zenica,2000.0,,18
505,"University of Mining and Geology ""Saint Ivan Rilski""",1953.0,,5
506,Slovak Medical University,2002.0,,12
507,Troy University,1887.0,,14
508,National Forestry University,1874.0,,8
509,Central University of Ecuador,1620.0,,16
510,Xinjiang Agricultural University,1952.0,,7
511,University of Redlands,1907.0,,11
512,Changsha University of Science and Technology,1956.0,,5
513,Stroganov Russian State University of Design and Applied Arts,1825.0,,11
514,University of Technology,1958.0,,6
515,Donbas State Pedagogical University,1939.0,,6
516,Lebanese International University (Yemen),2006.0,,5
517,Ivano-Frankivsk National Medical University,1945.0,,9
518,Ancient Mithila University,,,6
519,SNDT Women's University,1916.0,,8
520,Shanghai University,1994.0,,23
521,University of Gloucestershire,2001.0,,13
522,Burgas Free University,1991.0,,6
523,University of Wales Trinity Saint David - Lampeter Campus,1822.0,,8
524,Bandung Islamic University,1958.0,,7
525,Czech University of Life Sciences Prague,1952.0,,11
526,Borneo Tarakan University,1999.0,,7
527,University of Veterinary Medicine Vienna,1765.0,,7
528,Clarkson University,1896.0,,11
529,Sindh Madressatul Islam University,1885.0,,7
530,Thaksin University,1968.0,,7
531,Lviv Polytechnic,1844.0,,21
532,Al-Hikma University,1956.0,,7
533,Bangkokthonburi University,2002.0,,5
534,University of the Witwatersrand,1896.0,,40
535,Muhammadiyah University of Magelang,1964.0,,7
536,West Ukrainian University of Economics and Law,1991.0,,5
537,International School for Advanced Studies,1978.0,,9
538,Smolensk State University,1918.0,,7
539,Tashkent State University of Economics,1931.0,,11
540,Wake Forest University,1834.0,,25
541,Catholic University of Toulouse,1876.0,,10
542,University of Keele,1949.0,,22
543,Mississippi Valley State University,1950.0,,7
544,Kean University,1855.0,,6
545,Bircham International University,1992.0,,5
546,Bukhara State University,1930.0,,7
547,National University «Odesa Maritime Academy»,1944.0,,7
548,Payame Noor University,1988.0,,7
549,Odesa National Polytechnic University,1918.0,,9
550,Tver State Medical Academy,1954.0,,7
551,Academy of Gondishapur,,,25
552,Nihon University,1889.0,,21
553,French University of Egypt,2002.0,,11
554,Salve Regina University,1934.0,,6
555,Mukachevo State University,1995.0,,5
556,Engineering Institute of Zaporizhzhia National University,1959.0,,5
557,Marymount University,1950.0,,5
558,Communication University of China,1954.0,,12
559,Nara University,1925.0,,7
